doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
216,-1.4263729511677643,-0.5997365912277534,-1.581333668577006,-0.6423344539431565,120,120,6
217,-1.4343224829124739,-0.5976937997152826,-1.581333668577006,-0.6604992640463557,120,120,6
218,-1.442224205934165,-0.5956782119663153,-1.581333668577006,-0.6604992640463557,120,120,6
219,-1.4500683899704017,-0.5936871093831986,-1.581333668577006,-0.6604992640463557,120,120,6
220,-1.4578453575270915,-0.5917177269725848,-1.8010249796439144,-0.7203327806893127,120,120,6
221,-1.465545495412764,-0.5897672581111391,-1.8010249796439144,-0.7276378581185533,120,120,6
222,-1.4731592662014474,-0.5878328593650367,-1.8010249796439144,-0.9062129473049731,120,120,6
223,-1.4806772196106024,-0.5859116553571315,-1.8010249796439144,-0.7470497670161377,120,120,6
224,-1.4880900037806557,-0.584000743675607,-1.8010249796439144,-0.9058436576507295,120,120,6
225,-1.4953883764427998,-0.5820971998178772,-1.4479414460161615,-0.9058436576507295,120,120,6
226,-1.5025632159618487,-0.5801980821634636,-1.4479414460161615,-0.9058436576507295,120,120,6
227,-1.5096055322410955,-0.5783004369695318,-1.3684696236393845,-0.7470497670161377,120,120,6
228,-1.5165064774762653,-0.5764013033827553,-1.3551628860811422,-0.7470497670161377,120,120,6
229,-1.5232573567458472,-0.5744977184611416,-1.3684696236393845,-0.7470497670161377,120,120,6
230,-1.5298496384252727,-0.5725867221994556,-1.3684696236393845,-0.7470497670161377,120,120,6
231,-1.5362749644126135,-0.5706653625518598,-1.3824384996118053,-0.7470497670161377,120,120,6
232,-1.542525160153701,-0.5687307004454036,-1.3824384996118053,-0.747245603424675,120,120,6
233,-1.5485922444547944,-0.5667798147779961,-1.3824384996118053,-0.747245603424675,120,120,6
234,-1.5544684390711827,-0.5648098073945211,-1.3108721170003945,-0.7361809605389882,120,120,6
235,-1.5601461780603616,-0.5628178080347788,-1.3105995483921424,-0.7361809605389882,120,120,6
236,-1.5656181168887078,-0.5608009792469657,-1.33502652020654,-0.9102605150112749,120,120,6
237,-1.570877141280861,-0.5587565212604559,-1.3105995483921424,-0.7361809605389882,120,120,6
