capacity_kwh,power_kw,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
7.0,3.7,2205.542974709005,2839.704283501702,1485.6412334847826,1176.7083328862557,31.92312946497089,36.86343252420983,182.49214065728145,70.31703817164271,50.98347788075171
7.5,3.7,2176.2156082081083,2807.118320722921,1464.4410728224477,1156.1161371337612,32.89458916883643,37.968311720070616,174.67079298396422,58.65473300179383,41.18439150498898
8.0,3.7,2151.102011481367,2779.214324359897,1447.0139862876915,1139.2970155088449,33.69315445303126,38.87074571979458,167.24186796784574,50.22719345348287,33.63824324983261
8.5,3.7,2129.241119662501,2754.924444561154,1432.9671387882036,1125.8620659475607,34.33682628785568,39.59160115678233,160.26174394605937,43.72178363773128,26.869899122568313
9.0,3.7,2110.6869676961187,2734.3087201540616,1421.0021081744353,1114.60154488093,34.88510256188621,40.19578711201562,153.64894977206527,37.10830393276501,22.52104213326129
9.5,3.7,2094.3956074455136,2716.2072087644956,1411.5856959608977,1105.9450888046947,35.31659292491403,40.66025133639815,147.46758519348955,32.58272050121013,17.312912152470744
10.0,3.7,2080.511293216672,2700.7801929546863,1404.0109532729557,1099.1303022540537,35.663692053344676,41.02590034122188,141.63690751479604,27.768628457683008,13.629573101281949
10.5,3.7,2068.333074687883,2687.24883903381,1397.3640176940437,1093.2049162389535,35.968276069095815,41.34382834725958,136.18099324465035,24.35643705757866,11.85077203020046
11.0,3.7,2057.4849304903028,2675.195345480942,1391.3930330755572,1087.868403266878,36.24188583279757,41.6301602291121,131.0867202383359,21.69628839516008,10.67302594415105
11.5,3.7,2047.8671967477492,2664.508974655887,1386.0026013926947,1083.1299188535465,36.48889278947808,41.88440474539038,126.31654725623915,19.235467485107165,9.476968826662869
12.0,3.7,2039.037075667458,2654.697729011119,1380.6118533842327,1078.4343426380117,36.73591424121728,42.13634701203743,121.87096159095923,17.66024216058213,9.391152431069713
12.5,3.7,2030.4864793202257,2645.1970664030896,1375.5787715428119,1074.1612169338925,36.96654627618504,42.365622595298504,117.75617613596323,17.10119269446477,8.546251408238277
13.0,3.7,2022.3832133177452,2636.193437511445,1371.039359646664,1070.3639597504853,37.174556762831514,42.56936533908877,113.91967927624502,16.20653200496099,7.594514366814565
13.5,3.7,2014.9258193767403,2627.9074442436636,1366.7285914599145,1066.8131477010372,37.372090057641536,42.75988501018172,110.31420917473794,14.914787882009932,7.101624098896082
14.0,3.7,2008.138433780614,2620.3659046924145,1362.930473034966,1063.77498541339,37.54613208775227,42.92289833550248,106.91309738644343,13.574771192252683,6.0763245752946204
14.5,3.7,2001.7689447610537,2613.288694670682,1359.508965166289,1061.1134336820144,37.702916608106584,43.06570453121126,103.71452230565114,12.738978039120411,5.323103462751078
15.0,3.7,1995.6982851756309,2606.5435173535498,1356.4124758965306,1058.7769005495575,37.84480772850583,43.19107177613842,100.70705004993809,12.14131917084569,4.673066264913814
15.5,3.7,1989.9966096813982,2600.2083223599575,1353.4414257524522,1056.5658065427806,37.98095082379208,43.309708554728886,97.86715778984927,11.403350988465263,4.42218801355375
16.0,3.7,1984.588169354052,2594.1989442184654,1350.4801766261696,1054.3150471361182,38.11664480484769,43.43047358985186,95.18439524275978,10.81688065469234,4.501518813324765
16.5,3.7,1979.6544518616631,2588.717035893585,1347.8696736924421,1052.312509112232,38.23626646467051,43.53792024722176,92.63225649751715,9.867434984777901,4.005076047772491
17.0,3.7,1975.1574789218316,2583.720399293774,1345.5985677491383,1050.6493680787694,38.3403358602883,43.62715647776957,90.20169816522599,8.993945879662988,3.3262820669251596
17.5,3.7,1970.806682851707,2578.886181438081,1343.399323321349,1049.0580885608213,38.44111232960742,43.71253696148837,87.90074780940186,8.701592140249431,3.1825590358962472
18.0,3.7,1966.662158700545,2574.281154603455,1341.2892872656516,1047.556017414965,38.53780098373895,43.79313094863315,85.71489519439776,8.289048302323863,3.004142291712469
18.5,3.7,1962.7548356409798,2569.939684537268,1339.177067425928,1046.051762485083,38.63458970589436,43.87384210723295,83.6329504629915,7.81464611913043,3.0085098597642173
