capacity_kwh,power_kw,bound,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
28.5,3.0,charge_first,2802.757838718177,2163.7190400391705,1750.5165378757504,1229.1488684663002,34.91476205770565,42.298061963940384,61.55211284960254,3.2197188595519037,1.5970950155488026
29.0,3.0,charge_first,2801.228019757911,2162.0192411944295,1749.301113036263,1228.3385153393353,34.95995227051849,42.33610369112172,60.54639834349382,3.0596379205317135,1.6207062539297112
29.5,3.0,charge_first,2799.8423410793166,2160.4795982182136,1748.2038872981445,1227.6033859274285,35.00074777098746,42.37061406888196,59.5696325795486,2.7713573571891175,1.470258823813765
30.0,3.0,charge_first,2798.512698202126,2159.002217243558,1747.261693782876,1226.97815600804,35.035779081918896,42.399965255701055,58.623459505931166,2.659285754381017,1.2504598387768056
0.0,3.7,charge_first,4469.281294121165,4016.469487743705,2689.575383326995,2130.169124818943,0.0,0.0,,,
0.5,3.7,charge_first,4185.797718473144,3701.487737022962,2673.7047498305787,2114.592959046954,0.5900795194215491,0.7312173287326806,596.8075276802089,566.9671512960413,31.152331543978107
1.0,3.7,charge_first,4060.4382950358877,3562.1994887594296,2637.4726296889016,2079.194915985218,1.9372111286073301,2.392965339691433,430.3610516688419,250.71884687451347,70.79608612347238
1.5,3.7,charge_first,3948.221384475469,3437.5140325813873,2588.7392144418113,2031.1779139520675,3.7491482674283816,4.64710570224276,365.6560769443493,224.4338211208369,96.0340040663009
2.0,3.7,charge_first,3844.654501963259,3322.439718678915,2530.4032974324073,1973.6505480903002,5.918112088670768,7.347706569634305,328.75094324104504,207.13376502442043,115.05473172353459
2.5,3.7,charge_first,3748.89002971687,3216.0347495163023,2466.054888454867,1910.3705688050081,8.310623909549397,10.318361741939963,303.322637643957,191.52894449277846,126.55995857058406
3.0,3.7,charge_first,3659.3968906423374,3116.5979283225843,2398.9172341194526,1844.2250880411561,10.806841518901766,13.423536819035032,284.16996613288956,178.98627814906467,132.29096152770398
3.5,3.7,charge_first,3574.9606259293405,3022.7330177964577,2330.1965137707825,1776.4821013903327,13.361918456870402,16.603706217865355,268.9686220125682,168.8725294259939,135.48597330164694
4.0,3.7,charge_first,3495.7308776678087,2934.6249508924075,2263.264146637362,1710.5071309857865,15.850503366902757,19.700876749343866,256.19747801404213,158.45949652306354,131.94994080909237
4.5,3.7,charge_first,3422.805239129288,2853.5214503473426,2200.2415800062226,1648.489096144467,18.193719586898826,22.612290407477264,244.7897204659219,145.85127707704123,124.03606968263875
5.0,3.7,charge_first,3356.0614005121347,2779.2866163815315,2142.8625040746515,1592.1269143767292,20.327107492189423,25.258192139459634,234.36208286505467,133.48767723430683,112.72436353547573
5.5,3.7,charge_first,3296.34016934467,2712.854679581989,2091.929520323347,1542.1702796698603,22.220825886068397,27.60338783893794,224.48633967014297,119.44246233492959,99.91326941373791
6.0,3.7,charge_first,3242.456952592466,2652.909425466086,2047.1195176187994,1498.2379323424466,23.886888231163105,29.665775600339185,215.2323406190737,107.76643350440736,87.86469465482742
6.5,3.7,charge_first,3195.058763459816,2600.169757594159,2009.1826213001996,1461.1786914009585,25.297404424677328,31.40550793002629,206.35182682775763,94.79637826530052,74.11848188297608
7.0,3.7,charge_first,3153.6815673332644,2554.120081951282,1976.3749894911969,1429.248714969134,26.51721153669885,32.904448838511136,197.83454538163804,82.7543922531031,63.85995286364914
